,cap,dim,rad,mean_cap,center_corr,K,EVD90,PR,P,M,N,layer,seed,model,manifold_type,eps,eps_step,max_iter,clean_accuracy,adv_accuracy,random
3,0.043139222254302,34.38864066004452,1.4135201662051977,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
4,0.04135578065767945,35.35237677899979,1.4880910096646767,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
5,0.04318239191725794,34.966527992314575,1.4505043473655883,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
6,0.05161196722895668,30.69936880116831,1.2693013778889706,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
7,0.051698129346538474,31.204445189027187,1.3144038065840584,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
8,0.06292462768748901,27.80387513222945,1.1356661911078025,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
9,0.04696578143523094,32.73027104643257,1.3531346654408383,0.04846032042561838,0.20952337597573592,1,320,230.60885271386977,10,50,2000,3.block2,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
0,0.065800181880538,26.156743447826543,1.1309377313040652,0.05526237581627275,0.18680435663937156,1,314,205.5181766122796,10,50,2000,4.block3,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
1,0.054431819306525124,29.584236600234608,1.207067040716944,0.05526237581627275,0.18680435663937156,1,314,205.5181766122796,10,50,2000,4.block3,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
2,0.05715951075322929,29.24880557003227,1.253812664917834,0.05526237581627275,0.18680435663937156,1,314,205.5181766122796,10,50,2000,4.block3,0,CIFAR_ResNet18,class,0.00392156862745098,0.000980392156862745,16,0.9491,0.404,False
